Description, evaluation, std
Q75 error_cam_8pa_rot,0.04447907984356701,0.06402863906287508 
Q75 error_cam_8pa_tran,0.2211305092098417,0.15675042521690508 
Q75 error_cam_OURS_opt_res_ks_rot,0.04051410530534012,0.06246155081222424 
Q75 error_cam_OURS_opt_res_ks_tran,0.19904202961870135,0.1520383550678809 
Q75 error_cam_8pa_opt_res_Rt_L2_rot,0.04929109059246488,0.06605085074366865 
Q75 error_cam_8pa_opt_res_Rt_L2_tran,0.16659438036977653,0.17983939046787967 
Q75 error_cam_OURS_opt_res_Rtks_rot,0.044479079843566756,0.0640461841112733 
Q75 error_cam_OURS_opt_res_Rtks_tran,0.2211305092098417,0.15672965500997857 
Q75 error_cam_OURS_opt_res_ks_wRt_L2_rot,0.025559218996226894,0.06391181228967181 
Q75 error_cam_OURS_opt_res_ks_wRt_L2_tran,0.10210803779039503,0.2018398734303687 
Q75 error_cam_OURS_opt_res_ks_wRt_const_w_L2_rot,0.03825644448057934,0.06464553321934545 
Q75 error_cam_OURS_opt_res_ks_wRt_const_w_L2_tran,0.140846181654713,0.15991624116157965 
Q75 error_cam_opt_wRt_L2_rot,0.02715981116877605,0.06554701891943247 
Q75 error_cam_opt_wRt_L2_tran,0.11499480232351088,0.21532969767803517 
Q75 error_cam_opt_wRt_constW_L2_rot,0.03993808985382209,0.06502130309315839 
Q75 error_cam_opt_wRt_constW_L2_tran,0.16912249839810067,0.16481446967627297 
Q75 loss_8pa,3.748728081416892e-05,2.4824005279556426e-05 
Q75 loss_OURS_opt_res_ks,3.7304555376459665e-05,2.360607055525771e-05 
Q75 loss_8pa_opt_res_Rt_L2,4.39715938322976e-05,2.778176562316669e-05 
Q75 loss_OURS_opt_res_Rtks,6.291431324315067e-05,4.874453209259212e-05 
Q75 loss_OURS_opt_res_ks_wRt_L2,5.3724948730094386e-05,3.96991170713688e-05 
Q75 loss_OURS_opt_res_ks_wRt_const_w_L2,4.689071428348274e-05,3.049990605812526e-05 
Q75 loss_opt_wRt_L2,5.457081549693993e-05,3.926586192063753e-05 
Q75 loss_opt_wRt_constW_L2,4.896018439965041e-05,3.363643939406336e-05 
Q75 time_8pa,1.0,0.0 
Q75 time_OURS_opt_res_ks,1.637647789790618,0.3694164938496596 
Q75 time_8pa_opt_res_Rt_L2,1.5705434541939378,0.42440499403908966 
Q75 time_OURS_opt_res_Rtks,2.138486784217172,0.45175625781412654 
Q75 time_OURS_opt_res_ks_wRt_L2,5.246064240752894,2.4873690771729247 
Q75 time_OURS_opt_res_ks_wRt_const_w_L2,2.4130596661834467,0.8233767488995165 
Q75 time_opt_wRt_L2,5.932770144947847,3.4276621933058355 
Q75 time_opt_wRt_constW_L2,1.7583614300452628,0.48649206644786375 
8PA time,1.0,0.0
