Description, evaluation, std
Q25 error_cam_8pa_rot,0.015512272534342382,0.06402863906287508 
Q25 error_cam_8pa_tran,0.058791043295839826,0.15675042521690508 
Q25 error_cam_OURS_opt_res_ks_rot,0.014461713278965766,0.06246155081222424 
Q25 error_cam_OURS_opt_res_ks_tran,0.053282890803573825,0.1520383550678809 
Q25 error_cam_8pa_opt_res_Rt_L2_rot,0.0145954453042677,0.06605085074366865 
Q25 error_cam_8pa_opt_res_Rt_L2_tran,0.04089945181503463,0.17983939046787967 
Q25 error_cam_OURS_opt_res_Rtks_rot,0.015512272534342382,0.0640461841112733 
Q25 error_cam_OURS_opt_res_Rtks_tran,0.05879104329583973,0.15672965500997857 
Q25 error_cam_OURS_opt_res_ks_wRt_L2_rot,0.00556287555003074,0.06391181228967181 
Q25 error_cam_OURS_opt_res_ks_wRt_L2_tran,0.01668703001058813,0.2018398734303687 
Q25 error_cam_OURS_opt_res_ks_wRt_const_w_L2_rot,0.009708124765385164,0.06464553321934545 
Q25 error_cam_OURS_opt_res_ks_wRt_const_w_L2_tran,0.02879994581401155,0.15991624116157965 
Q25 error_cam_opt_wRt_L2_rot,0.005516924598094171,0.06554701891943247 
Q25 error_cam_opt_wRt_L2_tran,0.016768006759536352,0.21532969767803517 
Q25 error_cam_opt_wRt_constW_L2_rot,0.010507349407553612,0.06502130309315839 
Q25 error_cam_opt_wRt_constW_L2_tran,0.03372425691875923,0.16481446967627297 
Q25 loss_8pa,1.1471233442589667e-05,2.4824005279556426e-05 
Q25 loss_OURS_opt_res_ks,1.1492329210406363e-05,2.360607055525771e-05 
Q25 loss_8pa_opt_res_Rt_L2,1.2947701322625625e-05,2.778176562316669e-05 
Q25 loss_OURS_opt_res_Rtks,1.618644672968956e-05,4.874453209259212e-05 
Q25 loss_OURS_opt_res_ks_wRt_L2,1.4907347321842275e-05,3.96991170713688e-05 
Q25 loss_OURS_opt_res_ks_wRt_const_w_L2,1.3572226875066383e-05,3.049990605812526e-05 
Q25 loss_opt_wRt_L2,1.5024309487975402e-05,3.926586192063753e-05 
Q25 loss_opt_wRt_constW_L2,1.3839091471782493e-05,3.363643939406336e-05 
Q25 time_8pa,1.0,0.0 
Q25 time_OURS_opt_res_ks,1.1111740602337181,0.3694164938496596 
Q25 time_8pa_opt_res_Rt_L2,1.218657743363753,0.42440499403908966 
Q25 time_OURS_opt_res_Rtks,2.000440444206436,0.45175625781412654 
Q25 time_OURS_opt_res_ks_wRt_L2,2.9334189535239927,2.4873690771729247 
Q25 time_OURS_opt_res_ks_wRt_const_w_L2,1.6692896146594836,0.8233767488995165 
Q25 time_opt_wRt_L2,3.154363659200074,3.4276621933058355 
Q25 time_opt_wRt_constW_L2,1.3675219093719533,0.48649206644786375 
8PA time,1.0,0.0
